 ID,STORE_ID,STOTE_TYPE,LOCATION_TYPE,HOLIDAY,DISCOUNT,DISCOUNT2,ORDER1,SALES
T1000077,224,S1,L2,R2,1,Yes,58,43984.08
T1000078,223,S2,L5,R2,1,Yes,118,85426.92
T1000079,222,S4,L2,R2,1,Yes,44,33013.2
T1000080,221,S1,L1,R2,1,Yes,27,22759.38
T1000081,220,S2,L4,R3,1,Yes,121,76365.9
T1000082,219,S4,L2,R1,1,Yes,32,22716.45
T1000083,13,S3,L3,R1,1,Yes,49,37305.36
T1000084,218,S1,L3,R2,1,Yes,83,60897.93
T1000085,217,S4,L1,R1,1,Yes,29,22003.08
T1000086,216,S2,L5,R1,1,Yes,48,43805.25
T1000087,274,S4,L2,R4,1,Yes,36,34322.4
T1000088,15,S4,L2,R1,1,Yes,67,64258.2
T1000089,275,S4,L1,R1,1,Yes,61,53352
T1000090,277,S1,L3,R1,1,Yes,52,38706.3
T1000091,335,S1,L1,R3,1,Yes,53,45119.04
T1000092,334,S3,L2,R2,1,Yes,36,32145.9
T1000093,333,S1,L1,R3,1,Yes,34,24754.86
T1000094,332,S2,L5,R1,1,Yes,36,29683.2
T1000095,331,S1,L1,R4,1,Yes,77,57279.96
T1000096,330,S4,L2,R1,1,Yes,52,40680
T1000097,4,S1,L1,R2,1,Yes,80,53615.52
T1000098,329,S4,L2,R3,1,Yes,31,23546.25
T1000099,336,S4,L2,R1,1,Yes,46,35696.43
T1000100,328,S1,L3,R1,1,Yes,68,47319.39
T1000101,326,S3,L1,R1,1,Yes,57,45271.74
T1000102,325,S3,L1,R2,1,Yes,54,52690.5
T1000103,324,S1,L2,R3,1,Yes,50,38299.5
T1000104,323,S1,L4,R1,1,Yes,37,33062.61
T1000105,322,S2,L3,R4,1,Yes,64,48916.8
T1000106,321,S3,L1,R2,1,Yes,42,34763.19
T1000107,320,S2,L3,R2,1,Yes,73,58579.92
T1000108,319,S3,L1,R2,1,Yes,42,30477.6
T1000109,327,S4,L1,R3,1,Yes,66,52701.12
T1000110,318,S1,L3,R2,1,Yes,71,48639.12
T1000111,337,S4,L2,R1,1,Yes,92,68021.46
T1000112,339,S4,L2,R1,1,Yes,76,58770.84
T1000113,355,S2,L4,R2,1,Yes,83,63463.14
T1000114,354,S4,L2,R1,1,Yes,46,37962.45
T1000115,2,S3,L1,R3,1,Yes,25,18137.52
T1000116,353,S1,L3,R3,1,Yes,73,55244.7
T1000117,352,S4,L1,R1,1,Yes,41,31798.5
T1000118,351,S1,L4,R3,1,Yes,42,33430.74
T1000119,350,S1,L3,R2,1,Yes,46,36946.98
T1000120,349,S1,L1,R4,1,Yes,63,42201
T1000121,338,S4,L2,R1,1,Yes,111,73205.97
T1000122,348,S3,L1,R1,1,Yes,48,41238.6
T1000123,346,S4,L1,R1,1,Yes,46,43654.38
T1000124,345,S1,L1,R3,1,Yes,46,27731.55
T1000125,344,S1,L5,R1,1,Yes,32,27976.41
T1000126,343,S1,L1,R2,1,Yes,90,64035.72
T1000127,342,S4,L1,R1,1,Yes,43,31415.55
T1000128,3,S4,L2,R1,1,Yes,72,57288
T1000129,341,S1,L1,R2,1,Yes,70,55812.96
T1000130,340,S4,L2,R3,1,Yes,84,61041.6
T1000131,347,S1,L1,R1,1,Yes,83,57924
T1000132,317,S3,L1,R1,1,Yes,67,54612
T1000133,5,S1,L1,R3,1,Yes,47,36316.08
T1000134,316,S4,L2,R1,1,Yes,132,86962.68
T1000135,293,S2,L4,R2,1,Yes,34,28099.44
T1000136,7,S3,L1,R3,1,Yes,72,53544.48
T1000137,292,S1,L1,R1,1,Yes,43,29514.24
T1000138,291,S1,L3,R1,1,Yes,38,28863.9
T1000139,290,S1,L1,R3,1,Yes,24,21880.8
T1000140,289,S2,L5,R2,1,Yes,55,43442.04
T1000141,288,S3,L2,R3,1,Yes,63,41983.2
T1000142,287,S1,L4,R1,1,Yes,23,16850.4
T1000143,294,S4,L2,R2,1,Yes,41,36144.9
T1000144,286,S4,L2,R4,1,Yes,42,35249.76
T1000145,284,S4,L2,R3,1,Yes,77,53572.68
T1000146,283,S4,L1,R1,1,Yes,55,53277.6
T1000147,282,S1,L2,R2,1,Yes,64,45432.54
T1000148,281,S1,L4,R1,1,Yes,88,59092.8
T1000149,8,S4,L2,R2,1,Yes,65,49684.68
T1000150,280,S4,L2,R2,1,Yes,31,26525.73
T1000151,279,S2,L3,R2,1,Yes,70,48253.02
T1000152,278,S4,L1,R4,1,Yes,53,39731.55
T1000153,285,S1,L3,R3,1,Yes,76,61181.01
T1000154,295,S1,L1,R1,1,Yes,97,64724.1
T1000155,296,S1,L1,R1,1,Yes,32,26532
T1000156,297,S2,L3,R4,1,Yes,41,31630.8
T1000157,315,S4,L2,R1,1,Yes,55,45684
T1000158,314,S1,L1,R2,1,Yes,34,24284.91
T1000159,313,S1,L3,R1,1,Yes,113,74332.08
T1000160,312,S4,L2,R1,1,Yes,83,57937.32
T1000161,311,S4,L2,R2,1,Yes,30,22129.8
T1000162,310,S2,L5,R1,1,Yes,55,35416.62
T1000163,309,S1,L5,R1,1,Yes,78,60653.79
T1000164,308,S4,L2,R3,1,Yes,54,39982.38
T1000165,307,S1,L5,R2,1,Yes,33,26598.78
T1000166,306,S1,L3,R2,1,Yes,79,54236.82
T1000167,305,S4,L1,R1,1,Yes,41,32378.4
T1000168,6,S4,L1,R1,1,Yes,50,37234.26
T1000169,304,S1,L1,R4,1,Yes,108,74182.08
T1000170,303,S4,L2,R1,1,Yes,49,34946.1
T1000171,302,S1,L4,R2,1,Yes,46,32770.05
T1000172,301,S1,L3,R2,1,Yes,40,34352.01
T1000173,300,S2,L5,R2,1,Yes,37,33767.61
T1000174,299,S1,L1,R3,1,Yes,88,52939.02
T1000175,298,S4,L1,R1,1,Yes,43,35399.43
T1000176,276,S1,L1,R2,1,Yes,47,32897.34
T1000177,194,S1,L1,R2,1,Yes,36,32739.84
T1000178,193,S2,L3,R4,1,Yes,45,36434.76
T1000179,192,S1,L1,R3,1,Yes,53,36153
T1000180,87,S4,L2,R3,1,Yes,35,29043.36
T1000181,86,S1,L1,R4,1,Yes,154,115665.3
T1000182,85,S4,L2,R1,1,Yes,47,37581.6
T1000183,24,S1,L1,R2,1,Yes,30,24935.04
T1000184,84,S1,L1,R3,1,Yes,21,18342.9
T1000185,83,S2,L5,R1,1,Yes,90,60905.88
T1000186,82,S4,L2,R1,1,Yes,54,48498.48
T1000187,81,S3,L2,R1,1,Yes,50,40837.5
T1000188,88,S2,L5,R2,1,Yes,90,86203.2
T1000189,80,S1,L1,R1,1,Yes,32,27518.4
T1000190,78,S1,L1,R4,1,Yes,21,18956.37
T1000191,77,S2,L5,R3,1,Yes,23,19276.95
T1000192,76,S2,L3,R3,1,Yes,62,54510.72
T1000193,75,S3,L2,R3,1,Yes,68,55256.76
T1000194,74,S3,L1,R2,1,Yes,56,52430.4
T1000195,73,S3,L2,R4,1,Yes,49,43995.96
T1000196,72,S1,L2,R3,1,Yes,26,21769.44
T1000197,25,S1,L3,R1,1,Yes,47,38159.37
T1000198,79,S2,L5,R4,1,Yes,38,33914.94
T1000199,71,S2,L5,R1,1,Yes,40,31126.5
T1000200,89,S1,L4,R1,1,Yes,23,19155.69
T1000201,91,S3,L1,R1,1,Yes,56,45338.31
T1000202,108,S1,L1,R4,1,Yes,46,35656.8
T1000203,107,S1,L3,R3,1,Yes,49,37879.71
T1000204,106,S1,L1,R4,1,Yes,61,43882.26
T1000205,105,S4,L2,R1,1,Yes,40,29696.58
T1000206,104,S1,L1,R2,1,Yes,47,37623.24
T1000207,103,S1,L3,R3,1,Yes,81,67049.76
T1000208,102,S4,L2,R1,1,Yes,37,27197.94
T1000209,101,S1,L4,R3,1,Yes,36,29429.73
T1000210,90,S1,L1,R3,1,Yes,40,29089.77
T1000211,100,S1,L1,R2,1,Yes,58,44586.63
T1000212,98,S2,L5,R2,1,Yes,79,56481.3
T1000213,97,S4,L1,R1,1,Yes,64,50328.96
T1000214,23,S1,L1,R4,1,Yes,42,41068.44
T1000215,96,S3,L1,R3,1,Yes,58,43778.4
T1000216,95,S3,L1,R1,1,Yes,53,40939.86
T1000217,94,S4,L2,R2,1,Yes,42,38694.6
T1000218,93,S1,L1,R4,1,Yes,46,33786.06
T1000219,92,S1,L4,R2,1,Yes,50,37680.75
T1000220,99,S1,L1,R3,1,Yes,30,27258
T1000221,70,S1,L1,R3,1,Yes,36,27247.89
T1000222,69,S1,L1,R4,1,Yes,46,41822.04
T1000223,68,S1,L2,R4,1,Yes,37,26983.44
T1000224,46,S2,L1,R2,1,Yes,59,42451.2
T1000225,45,S3,L1,R1,1,Yes,45,30511.38
T1000226,44,S1,L3,R2,1,Yes,50,43734.6
T1000227,43,S1,L1,R2,1,Yes,41,31358.34
T1000228,42,S1,L4,R3,1,Yes,59,49283.85
T1000229,41,S1,L1,R2,1,Yes,40,34832.7
T1000230,40,S1,L1,R4,1,Yes,72,46017.51
T1000231,39,S4,L1,R1,1,Yes,30,23423.82
T1000232,47,S4,L2,R2,1,Yes,26,22323.33
T1000233,38,S1,L3,R2,1,Yes,37,32167.2
T1000234,36,S1,L3,R4,1,Yes,47,35736
T1000235,28,S3,L2,R3,1,Yes,40,34652.52
T1000236,35,S1,L1,R2,1,Yes,51,37629.36
T1000237,34,S1,L3,R1,1,Yes,77,66108.24
T1000238,33,S4,L2,R4,1,Yes,31,25787.91
T1000239,32,S1,L1,R2,1,Yes,48,32377.05
T1000240,31,S1,L5,R2,1,Yes,62,53411.4
T1000241,30,S1,L2,R2,1,Yes,38,27322.11
T1000242,37,S1,L3,R3,1,Yes,61,46580.85
T1000243,27,S1,L3,R3,1,Yes,35,26910.84
T1000244,48,S1,L1,R2,1,Yes,77,57111.12
T1000245,49,S4,L1,R2,1,Yes,37,30395.52
T1000246,67,S2,L5,R1,1,Yes,65,44949.45
T1000247,66,S3,L3,R3,1,Yes,28,26151.12
T1000248,65,S1,L2,R2,1,Yes,60,46070.64
T1000249,64,S3,L1,R2,1,Yes,52,42293.94
T1000250,63,S1,L1,R2,1,Yes,25,18729.36
T1000251,62,S2,L5,R1,1,Yes,59,44332.68
T1000252,61,S1,L1,R3,1,Yes,53,38172.6
T1000253,60,S1,L5,R2,1,Yes,41,32148
T1000254,26,S1,L1,R3,1,Yes,59,44263.8
T1000255,59,S1,L3,R1,1,Yes,76,63637.02
T1000256,58,S1,L1,R1,1,Yes,61,42046.2
T1000257,57,S4,L1,R1,1,Yes,32,23254.11
T1000258,56,S2,L5,R3,1,Yes,45,32458.08
T1000259,55,S1,L1,R2,1,Yes,50,49863.66
T1000260,54,S1,L2,R3,1,Yes,59,46891.5
T1000261,53,S3,L1,R2,1,Yes,62,55593.72
T1000262,52,S1,L1,R3,1,Yes,33,27864.42
T1000263,51,S1,L1,R2,1,Yes,50,42577.98
T1000264,50,S3,L2,R4,1,Yes,67,47837.25
T1000265,22,S1,L1,R4,1,Yes,85,67557.24
T1000266,109,S1,L1,R1,1,Yes,49,44631
T1000267,110,S2,L3,R3,1,Yes,50,38938.8
T1000268,111,S1,L1,R2,1,Yes,24,22464.75
T1000269,17,S1,L1,R2,1,Yes,56,40585.86
T1000270,169,S1,L2,R4,1,Yes,31,27930.33
T1000271,168,S2,L3,R3,1,Yes,45,33094.8
T1000272,167,S1,L1,R2,1,Yes,30,25254.99
T1000273,166,S1,L1,R2,1,Yes,43,30861
T1000274,165,S1,L1,R2,1,Yes,42,37028.34
T1000275,164,S1,L1,R3,1,Yes,45,43192.32
T1000276,163,S1,L2,R3,1,Yes,92,69630
T1000277,170,S1,L1,R2,1,Yes,45,39969.72
T1000278,162,S4,L1,R2,1,Yes,33,33615
T1000279,160,S4,L2,R1,1,Yes,21,19997.67
T1000280,159,S2,L1,R3,1,Yes,102,68569.92
T1000281,158,S4,L2,R2,1,Yes,76,52119.09
T1000282,18,S4,L1,R1,1,Yes,39,26347.89
T1000283,157,S4,L2,R1,1,Yes,55,46555.41
T1000284,156,S1,L1,R3,1,Yes,44,33333.12
T1000285,155,S3,L1,R2,1,Yes,50,35640
T1000286,154,S1,L3,R2,1,Yes,115,82906.2
T1000287,161,S1,L1,R3,1,Yes,125,81403.2
T1000288,171,S4,L2,R3,1,Yes,36,31800
T1000289,172,S1,L1,R1,1,Yes,66,50804.01
T1000290,173,S4,L2,R1,1,Yes,60,46509.54
T1000291,191,S3,L1,R1,1,Yes,62,41235.48
T1000292,190,S3,L3,R1,1,Yes,36,32101.92
T1000293,189,S2,L3,R3,1,Yes,45,40705.56
T1000294,188,S3,L2,R1,1,Yes,39,29496.54
T1000295,187,S1,L1,R1,1,Yes,25,20638.8
T1000296,186,S2,L5,R2,1,Yes,48,44349.48
T1000297,185,S1,L1,R3,1,Yes,38,34642.08
T1000298,184,S1,L2,R2,1,Yes,55,40186.5
T1000299,183,S1,L3,R1,1,Yes,69,50121
T1000300,16,S1,L3,R1,1,Yes,94,68044.95
T1000301,182,S3,L1,R1,1,Yes,72,51291.51
T1000302,181,S3,L1,R3,1,Yes,39,30167.28
T1000303,180,S1,L3,R2,1,Yes,40,36056.64
T1000304,179,S1,L1,R2,1,Yes,60,54196.26
T1000305,178,S3,L2,R3,1,Yes,32,28636.71
T1000306,177,S2,L1,R4,1,Yes,77,61160.4
T1000307,176,S4,L2,R3,1,Yes,180,126633
T1000308,175,S4,L2,R1,1,Yes,38,31424.04
T1000309,174,S1,L1,R4,1,Yes,86,66478.5
T1000310,153,S4,L2,R1,1,Yes,31,26400
T1000311,356,S3,L3,R1,1,Yes,23,20410.2
T1000312,152,S2,L1,R1,1,Yes,48,40032.72
T1000313,150,S4,L2,R1,1,Yes,31,23971.68
T1000314,128,S1,L2,R2,1,Yes,84,63596.25
T1000315,127,S4,L2,R2,1,Yes,111,87717.66
T1000316,126,S4,L2,R2,1,Yes,71,48356.37
T1000317,125,S4,L2,R1,1,Yes,68,59560.35
T1000318,124,S3,L2,R3,1,Yes,62,56372.94
T1000319,123,S4,L2,R3,1,Yes,46,43755.66
T1000320,122,S1,L1,R2,1,Yes,46,41795.94
T1000321,121,S1,L1,R4,1,Yes,88,89402.28
T1000322,129,S3,L1,R1,1,Yes,58,56347.2
T1000323,21,S3,L2,R4,1,Yes,31,29021.76
T1000324,119,S1,L1,R3,1,Yes,32,29624.04
T1000325,118,S2,L1,R4,1,Yes,39,34079.22
T1000326,117,S1,L1,R3,1,Yes,33,30542.67
T1000327,116,S2,L3,R3,1,Yes,85,55071.9
T1000328,115,S4,L2,R1,1,Yes,46,37318.2
T1000329,114,S3,L1,R4,1,Yes,33,29751.72
T1000330,113,S2,L3,R3,1,Yes,41,32589.18
T1000331,112,S1,L1,R3,1,Yes,50,40529.97
T1000332,120,S3,L2,R2,1,Yes,59,47325.6
T1000333,130,S1,L1,R3,1,Yes,54,40538.16
T1000334,131,S4,L2,R1,1,Yes,37,27043.08
T1000335,132,S1,L1,R3,1,Yes,96,69123.36
T1000336,149,S2,L3,R2,1,Yes,35,32289.9
T1000337,148,S1,L1,R2,1,Yes,98,76955.76
T1000338,147,S4,L2,R4,1,Yes,119,82191.06
T1000339,146,S4,L2,R1,1,Yes,59,41945.64
T1000340,19,S1,L1,R3,1,Yes,63,42504.12
T1000341,145,S1,L3,R1,1,Yes,54,41657.76
T1000342,144,S1,L3,R3,1,Yes,51,44448.24
T1000343,143,S3,L2,R3,1,Yes,27,22034.85
T1000344,142,S2,L1,R3,1,Yes,35,29117.25
T1000345,141,S1,L1,R2,1,Yes,58,41675.04
T1000346,140,S4,L1,R1,1,Yes,66,47806.35
T1000347,139,S4,L2,R2,1,Yes,69,59985.9
T1000348,138,S1,L1,R1,1,Yes,64,47407.5
T1000349,137,S4,L1,R1,1,Yes,21,17166.24
T1000350,136,S2,L5,R4,1,Yes,33,28994.94
T1000351,135,S1,L1,R4,1,Yes,43,33519.81
T1000352,134,S1,L4,R1,1,Yes,44,34353
T1000353,20,S1,L1,R1,1,Yes,36,32147.28
T1000354,133,S1,L1,R4,1,Yes,68,55777.92
T1000355,151,S1,L3,R2,1,Yes,76,50129.55
T1000356,357,S4,L1,R1,1,Yes,49,33680.01
T1000357,29,S1,L4,R2,1,Yes,57,53564.94
T1000358,365,S2,L1,R2,1,Yes,32,25521.75
T1000359,361,S1,L3,R1,1,Yes,26,20533.5
T1000360,358,S3,L1,R1,1,Yes,85,59517.6
T1000361,359,S2,L3,R2,1,Yes,55,43514.28
T1000362,362,S1,L3,R3,1,Yes,37,27770.4
T1000363,363,S1,L1,R2,1,Yes,42,29676.24
T1000364,360,S2,L1,R1,1,Yes,28,25680.27
T1000365,364,S2,L3,R2,1,Yes,43,29538
T1000366,214,S1,L1,R4,0,Yes,53,46686
T1000367,152,S2,L1,R1,0,Yes,44,41160
T1000368,349,S1,L1,R4,0,Yes,62,51198
T1000369,197,S2,L5,R1,0,Yes,46,32685
T1000370,82,S4,L2,R1,0,Yes,81,54597
T1000371,151,S1,L3,R2,0,Yes,47,35361
T1000372,323,S1,L4,R1,0,Yes,54,36978
T1000373,231,S4,L2,R3,0,Yes,100,70152
T1000374,153,S4,L2,R1,0,Yes,142,105243
T1000375,27,S1,L3,R3,0,Yes,51,43047
T1000376,284,S4,L2,R3,0,Yes,68,54837
T1000377,258,S2,L4,R4,0,Yes,43,34755
T1000378,110,S2,L3,R3,0,Yes,45,39948
T1000379,154,S1,L3,R2,0,Yes,86,59343
T1000380,248,S1,L1,R2,0,Yes,48,38553
T1000381,321,S3,L1,R2,0,Yes,76,59331
T1000382,38,S1,L3,R2,0,Yes,50,40428
T1000383,109,S1,L1,R1,0,Yes,92,67047
T1000384,22,S1,L1,R4,0,Yes,54,51768
T1000385,155,S3,L1,R2,0,Yes,75,62307
T1000386,81,S3,L2,R1,0,Yes,67,59049
T1000387,156,S1,L1,R3,0,Yes,76,65868
T1000388,322,S2,L3,R4,0,Yes,44,37842
T1000389,239,S3,L1,R3,0,Yes,69,55500
T1000390,61,S1,L1,R3,0,Yes,74,55998
T1000391,150,S4,L2,R1,0,Yes,117,82629
T1000392,327,S4,L1,R3,0,Yes,97,66723
T1000393,217,S4,L1,R1,0,Yes,72,49314
T1000394,112,S1,L1,R3,0,Yes,53,41868
T1000395,65,S1,L2,R2,0,Yes,92,91023
T1000396,242,S4,L1,R1,0,Yes,86,56394
T1000397,19,S1,L1,R3,0,Yes,55,50616
T1000398,146,S4,L2,R1,0,Yes,146,97185
T1000399,282,S1,L2,R2,0,Yes,65,67197
T1000400,326,S3,L1,R1,0,Yes,68,51486
T1000401,249,S1,L3,R2,0,Yes,57,40233
T1000402,348,S3,L1,R1,0,Yes,65,46344
T1000403,57,S4,L1,R1,0,Yes,87,58194
T1000404,147,S4,L2,R4,0,Yes,145,104433
T1000405,83,S2,L5,R1,0,Yes,27,23148
T1000406,148,S1,L1,R2,0,Yes,48,41154
T1000407,216,S2,L5,R1,0,Yes,37,28233
T1000408,111,S1,L1,R2,0,Yes,67,51369
T1000409,325,S3,L1,R2,0,Yes,72,55302
T1000410,92,S1,L4,R2,0,Yes,53,35403
T1000411,37,S1,L3,R3,0,Yes,45,40071
T1000412,149,S2,L3,R2,0,Yes,53,42579
T1000413,283,S4,L1,R1,0,Yes,86,55278
T1000414,262,S1,L1,R1,0,Yes,66,56556
T1000415,324,S1,L2,R3,0,Yes,73,67773
T1000416,213,S1,L1,R2,0,Yes,68,51390
T1000417,215,S3,L2,R1,0,Yes,75,64260
T1000418,66,S3,L3,R3,0,Yes,65,43395
T1000419,350,S1,L3,R2,0,Yes,60,45453
T1000420,157,S4,L2,R1,0,Yes,106,69786
T1000421,79,S2,L5,R4,0,Yes,41,33324
T1000422,163,S1,L2,R3,0,Yes,69,60915
T1000423,316,S4,L2,R1,0,Yes,85,71145
T1000424,164,S1,L1,R3,0,Yes,53,45036
T1000425,107,S1,L3,R3,0,Yes,68,48249
T1000426,209,S1,L1,R1,0,Yes,62,47490
T1000427,247,S1,L1,R3,0,Yes,57,47823
T1000428,165,S1,L1,R2,0,Yes,67,50217
T1000429,315,S4,L2,R1,0,Yes,112,74043
T1000430,359,S2,L3,R2,0,Yes,46,42894
T1000431,40,S1,L1,R4,0,Yes,63,57570
T1000432,287,S1,L4,R1,0,Yes,62,43263
T1000433,166,S1,L1,R2,0,Yes,54,47175
T1000434,352,S4,L1,R1,0,Yes,77,56421
T1000435,314,S1,L1,R2,0,Yes,63,49506
T1000436,208,S3,L1,R1,0,Yes,91,66699
T1000437,78,S1,L1,R4,0,Yes,49,40521
T1000438,167,S1,L1,R2,0,Yes,60,45306
T1000439,55,S1,L1,R2,0,Yes,75,60000
T1000440,313,S1,L3,R1,0,Yes,55,39888
T1000441,106,S1,L1,R4,0,Yes,65,50064
T1000442,168,S2,L3,R3,0,Yes,46,39819
T1000443,272,S2,L4,R2,0,Yes,40,31332
T1000444,246,S3,L1,R3,0,Yes,73,62211
T1000445,288,S3,L2,R3,0,Yes,71,60075
T1000446,232,S1,L1,R4,0,Yes,59,47880
T1000447,67,S2,L5,R1,0,Yes,32,23499
T1000448,210,S1,L5,R1,0,Yes,39,26448
T1000449,162,S4,L1,R2,0,Yes,83,59592
T1000450,145,S1,L3,R1,0,Yes,59,42240
T1000451,319,S3,L1,R2,0,Yes,76,61359
T1000452,285,S1,L3,R3,0,Yes,43,36636
T1000453,18,S4,L1,R1,0,Yes,86,59382
T1000454,273,S2,L3,R4,0,Yes,34,31182
T1000455,158,S4,L2,R2,0,Yes,124,78246
T1000456,212,S4,L2,R3,0,Yes,107,76056
T1000457,318,S1,L3,R2,0,Yes,63,45696
T1000458,53,S3,L1,R2,0,Yes,87,64188
T1000459,12,S1,L3,R2,0,Yes,63,45969
T1000460,342,S4,L1,R1,0,Yes,92,59403
T1000461,39,S4,L1,R1,0,Yes,94,61233
T1000462,320,S2,L3,R2,0,Yes,47,37353
T1000463,159,S2,L1,R3,0,Yes,50,47223
T1000464,240,S3,L2,R3,0,Yes,72,58116
T1000465,93,S1,L1,R4,0,Yes,53,46158
T1000466,263,S1,L5,R1,0,Yes,50,31959
T1000467,160,S4,L2,R1,0,Yes,152,101577
T1000468,317,S3,L1,R1,0,Yes,65,44430
T1000469,5,S1,L1,R3,0,Yes,74,59661
T1000470,31,S1,L5,R2,0,Yes,48,32220
T1000471,211,S4,L2,R1,0,Yes,88,63474
T1000472,358,S3,L1,R1,0,Yes,75,58503
T1000473,351,S1,L4,R3,0,Yes,51,37053
T1000474,161,S1,L1,R3,0,Yes,60,57807
T1000475,286,S4,L2,R4,0,Yes,103,81198
T1000476,108,S1,L1,R4,0,Yes,60,50205
T1000477,84,S1,L1,R3,0,Yes,65,51531
T1000478,113,S2,L3,R3,0,Yes,39,36639
T1000479,50,S3,L2,R4,0,Yes,73,59064
T1000480,278,S4,L1,R4,0,Yes,97,69774
T1000481,127,S4,L2,R2,0,Yes,96,72801
T1000482,237,S2,L3,R3,0,Yes,38,37062
T1000483,338,S4,L2,R1,0,Yes,99,76488
T1000484,224,S1,L2,R2,0,Yes,65,52230
T1000485,118,S2,L1,R4,0,Yes,51,46242
T1000486,128,S1,L2,R2,0,Yes,61,54270
T1000487,62,S2,L5,R1,0,Yes,38,29748
T1000488,228,S1,L1,R1,0,Yes,61,48747
